 month,Rev. Aggregate,Rev. 1 BR,Rev. 2 BR,Rev. 3 BR,Rev. 4 BR,Rev. 5 BR,Occ. Aggregate,Occ. 1 BR,Occ. 2 BR,Occ. 3 BR,Occ. 4 BR,Occ. 5 BR,BW Aggregate,BW 1 BR,BW 2 BR,BW 3 BR,BW 4 BR,BW 5 BR,LOS Aggregate,LOS 1 BR,LOS 2 BR,LOS 3 BR,LOS 4 BR,LOS 5 BR,RevPAR Aggregate,RevPAR 1 BR,RevPAR 2 BR,RevPAR 3 BR,RevPAR 4 BR,RevPAR 5 BR,ADR Aggregate,ADR 1 BR,ADR 2 BR,ADR 3 BR,ADR 4 BR,ADR 5 BR
2022-07,9044,5578,7433,9786,13767,21268,85,86,86,83,85,82,127,79,119,150,170,176,6,4,6,7,7,7,292,180,240,316,444,686,378,229,304,414,567,950
2022-08,8808,5637,7232,9629,12684,21206,84,86,85,83,81,80,122,76,108,141,175,187,6,4,5,7,7,7,284,182,233,311,409,684,377,233,304,406,562,980
2022-09,5549,4366,4466,5982,7631,11260,66,77,65,63,59,55,61,50,52,63,81,119,4,4,4,5,5,5,185,146,149,199,254,375,337,208,269,368,510,847
2022-10,4465,3676,3752,4804,5771,8139,57,71,57,53,48,45,44,42,41,45,50,47,4,4,4,5,4,5,144,119,121,155,186,263,308,188,248,346,467,709
2022-11,2726,1967,2217,3061,3565,6086,41,50,41,38,33,36,28,23,26,31,34,36,6,6,7,6,6,6,91,66,74,102,119,203,277,154,217,322,421,681
2022-12,2518,1691,1971,2908,3592,5478,38,45,37,37,31,30,31,24,30,36,35,42,7,7,7,7,7,6,82,55,64,94,116,177,271,143,203,311,447,695
2023-01,1799,1311,1499,1775,2652,4325,31,39,32,26,26,28,23,20,19,29,26,17,12,15,10,12,7,16,58,42,48,57,86,140,249,130,188,285,416,624
2023-02,1660,1332,1411,1654,2112,4013,33,42,35,28,24,28,20,21,17,17,28,21,8,8,8,7,6,12,59,48,50,59,75,143,237,132,182,261,392,609
2023-03,1992,1472,1762,2058,2595,4334,35,44,37,30,28,28,20,19,22,18,25,18,8,9,7,8,7,6,64,47,57,66,84,140,240,129,183,280,374,630
2023-04,2640,1881,2289,3013,3424,4719,43,51,44,40,34,32,26,23,24,29,26,32,7,6,7,7,6,5,88,63,76,100,114,157,261,142,206,296,412,643
2023-05,3836,2466,3155,4172,5763,8545,51,56,52,49,46,41,38,30,38,42,44,36,5,4,5,5,5,5,124,80,102,135,186,276,304,170,234,339,481,803
2023-06,5437,3404,4249,5948,8176,14081,62,66,61,61,60,60,62,43,53,71,87,108,5,4,4,5,6,6,182,114,142,199,273,469,344,198,270,384,527,898
2023-07,8597,5236,6896,9616,12674,21122,80,82,80,80,78,76,106,58,96,131,148,156,6,4,6,7,7,7,277,169,223,310,409,681,390,231,310,435,581,999
2023-08,8362,5235,6842,9427,11819,19795,79,82,79,79,77,75,102,58,90,127,142,160,6,4,5,7,7,7,270,169,221,304,382,641,388,230,313,436,565,976
2023-09,4881,3685,4163,5252,6277,10312,58,68,59,54,48,53,52,44,47,53,68,71,4,4,4,5,4,4,163,123,139,175,209,344,336,204,270,374,517,775
2023-10,3686,3028,3357,3755,4464,6983,48,59,50,42,36,38,43,42,42,45,46,43,4,4,4,5,4,5,119,98,108,121,144,226,302,186,244,340,457,678
